danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.784,0.223,-9.669,0.0595,0.143,0.871,0.0695,0.14,167.928,3NOKSBsL5amXGYBv8v60VM,130168
0.192,0.884,-6.465,0.0467,0.00432,0.771,0.423,0.337,144.925,0NE9QEMV1ljhNC8WB6UqYC,485250
0.386,0.739,-2.367,0.0384,0.033,2.23e-06,0.241,0.0666,75.023,2EgXhbQ9SliIgqWbB4JYHW,259401
0.702,0.777,-4.22,0.0502,0.445,0.0,0.166,0.783,98.074,65YmLoJJChUgcrVUZP9e6Y,202453
0.406,0.906,-4.779,0.0811,0.0879,2.77e-06,0.149,0.374,157.027,3QdONbRB2mDqL3T6yugJgO,200227
0.589,0.886,-1.883,0.0429,0.0207,0.859,0.178,0.275,174.015,6LbwPQqTImDJd0j0JRajVj,226207
0.424,0.709,-5.898,0.0322,0.033,0.0,0.256,0.588,93.123,6uBBABC1IPIjUCHZkzjlls,192507
0.662,0.194,-17.618,0.033,0.884,0.862,0.438,0.244,142.086,6i0C20TvKja1NUOmFvkpE2,216338
0.326,0.894,-4.972,0.0643,0.000984,0.0,0.363,0.164,129.43,56nQ0EwaDX0X1TFGrDVC0b,306212
0.688,0.582,-10.668,0.0542,0.23,0.000157,0.0663,0.872,85.486,7pBrj5rt4SSxXwFKOyZfHR,224661
0.331,0.218,-10.261,0.0348,0.906,0.0,0.125,0.119,131.222,0PgPO356ZfPGMKkJlxC90b,412735
0.279,0.212,-13.228,0.0342,0.928,0.804,0.178,0.222,179.725,7dlYTHgcctFvY4QGA1Znrz,264040
0.663,0.516,-10.722,0.046,0.365,0.0,0.103,0.548,124.843,48cbSoaNoY3tVL141uoBiB,325512
0.679,0.715,-6.383,0.0407,0.0755,0.0,0.271,0.571,127.435,6fNhZRFEkBfgW39W3wKARJ,214148
0.383,0.000885,-31.958,0.0567,0.984,0.829,0.0919,0.108,63.167,3ZoVpx6ozoxcmOy5eVhmQf,367557
0.452,0.497,-12.373,0.061,0.562,0.001,0.285,0.77,190.571,7E1bFRbnZAYonHAL5GrGlA,158677
0.339,0.868,-10.449,0.129,3.81e-05,0.933,0.0868,0.274,176.991,3rFbAAjM5kM37LyEH6yJrY,288960
0.619,0.654,-6.129,0.0528,0.25,0.0,0.172,0.493,126.003,5c8bM603hqoHJzJFxmUkZ1,170519
0.789,0.791,-3.78,0.0347,0.236,0.0,0.0982,0.882,128.008,4cyMj3kQwS0eIgGtQg3ozR,203127
0.442,0.943,-3.205,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,6L89mwZXSOwYl76YXfX13s,181533
0.883,0.396,-9.375,0.133,0.242,2.38e-05,0.113,0.355,94.994,3VGWGVOAUcoCpiHqqdrxb3,217263
0.827,0.785,-6.887,0.0433,0.682,0.000115,0.0579,0.618,127.553,4ublbSeTJzmSOawozVLQcL,162462
0.714,0.926,-6.514,0.0537,0.216,0.0,0.634,0.952,129.996,3TytI9LFOL2aByywkSKDvP,242267
0.489,0.428,-12.55,0.042,0.682,0.001,0.105,0.763,139.702,6csfNkoVp9OXfRIyhYnHXw,141038
0.552,0.265,-12.022,0.0312,0.663,0.00729,0.139,0.322,104.477,2eQPLfiQEos0sFEOZGRzQu,156493
0.392,0.863,-4.063,0.0445,1.76e-05,0.928,0.351,0.266,172.063,3BdBykKtLTEYxsDAFHhPDd,223933
0.501,0.374,-10.964,0.0331,0.548,0.0,0.246,0.387,111.003,064PZjNixS8qWFacclNpCk,221933
0.512,0.523,-11.01,0.396,0.0879,0.0,0.308,0.323,132.172,7MOKGeIdgQKMR794GRzIP7,145455
0.587,0.616,-8.024,0.0248,0.397,0.801,0.721,0.247,102.498,73GsHftsrzqt2GAiTN4VsK,236488
0.458,0.906,-2.318,0.114,2.26e-05,0.0253,0.145,0.276,76.354,0W3b6YlEKoj1g5pNUPB6sw,220023
0.603,0.88,-5.056,0.0375,0.00157,0.0,0.0964,0.546,114.982,4TEXFKtUl4jIBC9ZS57h1O,209027
0.431,0.54,-10.693,0.0389,0.107,5.23e-06,0.279,0.651,83.904,2G2cajcOspssErGgdEv3je,239973
0.754,0.679,-10.005,0.038,0.0143,0.588,0.0414,0.971,129.859,5Y6kdI0iy3JdidqDXJBgJD,283373
0.372,0.482,-7.188,0.0273,0.466,0.0,0.123,0.456,89.937,6S9DOgHtn1gKCdEElAW3FT,200086
0.494,0.874,-2.801,0.0504,0.00215,0.00152,0.0886,0.221,174.027,1ZbxcyBcUvkdCwBMLVnWhL,259310
0.671,0.375,-10.702,0.0494,0.252,0.00101,0.103,0.427,129.831,3kWYgDFiWcMYnh7YmXqxRJ,195650
0.631,0.13,-16.699,0.0454,0.949,0.932,0.339,0.262,144.034,6IGZfMBeujDxmEhL9Tfvkv,163328
0.385,0.0251,-27.255,0.0508,0.992,0.942,0.106,0.238,63.828,44jnGxgCSoyxygFmpyCiPy,139777
0.818,0.749,-4.298,0.282,0.186,4.33e-05,0.0903,0.184,105.007,7360iScV4BTruAJfE6TnjO,183007
0.726,0.548,-9.562,0.0339,0.616,0.0124,0.321,0.629,130.99,4wxBoGlvFcYBm2T3AhQRKQ,276312
0.377,0.743,-8.746,0.0403,0.177,0.84,0.286,0.424,109.963,6Ga3GoWMOu4y1adC5aCzKP,213818
0.501,0.962,-3.533,0.089,0.0341,0.000512,0.213,0.417,174.043,2t6r2W6YpLUg5sJTnb59ps,342827
0.141,0.116,-28.718,0.041,0.848,0.872,0.107,0.125,102.494,7feFMZxaNV6km5QZAXYyv0,437907
0.748,0.143,-16.502,0.046,0.979,0.879,0.113,0.428,126.439,4q4emoW3IX2eHhY3sVkudj,177500
0.52,0.929,-3.899,0.17,0.000177,0.000152,0.567,0.318,172.094,6Ac8oHWs9EzB2RfzWCOqAX,283952
0.474,0.91,-3.312,0.0312,0.000979,0.0897,0.107,0.329,169.938,20ZWeNeklm76rirBb4JigS,276061
0.364,0.161,-17.278,0.034,0.961,0.878,0.101,0.0824,115.504,0QqusGKX2WdoIrVNbU2xwS,227532
0.391,0.925,-5.152,0.0365,0.00602,0.0998,0.0585,0.138,173.99,5XIVnow02xlkHwxETQ3Lnq,276000
0.358,0.916,-5.958,0.0497,0.0299,0.0,0.595,0.498,171.133,0Dmao2oWlAZzIBX2Q1B5AH,357267
0.46,0.821,-2.357,0.0651,0.0145,0.641,0.0964,0.0397,174.027,0vqwXiMQbWSWNzE0UVR4gj,276062
0.71,0.851,-2.633,0.0382,0.0318,0.0,0.342,0.895,134.004,7oa18QwhLsV3JfITGDxslD,219781
0.556,0.57,-9.472,0.0393,0.0118,0.000526,0.198,0.304,126.01,6rLqjzGV5VMLDWEnuUqi8q,165227
0.421,0.594,-8.033,0.0314,0.000701,0.765,0.26,0.385,85.696,6tKYydTK2vWKusCbXVFLBf,124436
0.278,0.984,-4.213,0.0553,0.000378,0.787,0.153,0.531,132.04,6rcX2cAezpErEs8iOmAd3p,199482
0.448,0.011,-26.821,0.0469,0.996,0.94,0.101,0.301,92.778,3W5GfZBvDJQKovjdCww4pL,123888
