song_name,song_artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
My Girl,The Temptations,0.604,0.648,-6.947,0.0343,0.0426,0.0,0.158,0.523,109.969,5CoJZusX68O7syF5efY0pU,224880.0,11
When a Man Loves a Woman,Percy Sledge,0.42,0.361,-10.75,0.0341,0.413,0.00304,0.0708,0.0843,112.26,1s65HRPwZtSG5dBIBZ0dix,396627.0,5
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,0.439,0.981,-4.871,0.127,2.01e-05,0.321,0.252,0.219,157.019,6ULAF7fV7JPQPPHz1aP3vc,256267.0,17
(What A) Wonderful World,Sam Cooke,0.528,0.541,-5.492,0.0398,0.804,0.0,0.216,0.363,82.686,6wzMwD1OcvOGOUXfaUxrBq,208645.0,11
Brown Eyed Girl,Van Morrison,0.701,0.393,-9.868,0.155,0.919,0.384,0.0964,0.791,75.908,1xXydFs62EqOXFMPizVhn4,196640.0,11
I Say a Little Prayer,Aretha Franklin,0.423,0.0418,-17.75,0.0323,0.953,0.0,0.125,0.137,105.901,3341eBppSCetzo507uJU06,178067.0,13
Here Comes The Sun - Remastered 2009,The Beatles,0.443,0.819,-6.61,0.0615,0.00338,0.016,0.696,0.0983,116.033,14HrSWGYPCDwqAcVFUYKsq,348893.0,8
Ain't No Mountain High Enough,Marvin Gaye,0.494,0.182,-11.116,0.0443,0.79,0.00036,0.129,0.21,112.689,5vb7At47uO0yPGfmYnAHuw,355333.0,5
Surfin' U.S.A. - Remastered 2001,The Beach Boys,0.749,0.85,-4.346,0.0468,0.0319,4.81e-05,0.0678,0.672,145.983,5EzitieoPnjyKHAq0gfRMa,190423.0,3
(Sittin' On) the Dock of the Bay,Otis Redding,0.68,0.578,-5.804,0.04,0.331,0.0,0.135,0.341,145.038,7dt6x5M1jzdTEt8oCbisTK,231267.0,6
Stand By Me,Ben E. King,0.417,0.42,-13.046,0.06,0.186,0.00111,0.185,0.517,147.143,1ZXu0ib26kWfQQngREMcU2,287844.0,18
Fortunate Son,Creedence Clearwater Revival,0.491,0.605,-10.098,0.0367,0.192,0.0,0.289,0.903,151.416,5KhtfxmVLso0pQfnZ49h36,183507.0,3
Can't Help Falling in Love,Elvis Presley,0.548,0.294,-17.112,0.0333,0.332,3.34e-06,0.0392,0.491,76.698,1GeNWyZtCHbcp3ZWp8GTOO,256173.0,13
"Paint It, Black",The Rolling Stones,0.874,0.768,-4.086,0.311,0.0554,0.0,0.041,0.636,106.095,52gqeRlrBE7hqMlRxEsi6y,257067.0,16
Sweet Caroline,Neil Diamond,0.575,0.764,-7.448,0.0746,0.566,1.07e-05,0.0692,0.536,123.821,6ft9PAgNOjmZ2kFVP7LGqb,203240.0,15
