danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.582,0.84,-4.797,0.0477,0.0141,0.72,0.0787,0.115,174.031,2ch3cSsV6oZwLZWZBVYUTg,313473
0.516,0.915,-2.498,0.0562,0.0228,0.000789,0.125,0.0398,174.032,6LW3Z1GqbL78TIjfDyg4zp,225172
0.408,0.899,-2.838,0.0908,0.00419,0.00123,0.333,0.38,174.065,09eIoXFPSIvxAmfZjIA6qG,184761
0.73,0.349,-8.837,0.131,0.0478,0.898,0.124,0.753,174.03,6HRa9FtX8ifjQmA3XFBXan,358976
0.672,0.748,-6.744,0.0725,0.0203,0.677,0.0875,0.165,174.012,2lybuq8kQnhl6p2bsNSRAV,395633
0.48,0.925,-5.748,0.0513,0.00028,0.543,0.486,0.179,173.044,0wrg4FXpFKz1y1tYsZPJOw,321440
0.411,0.704,-4.328,0.0349,0.00791,0.817,0.116,0.0391,175.071,7oVAVtlK9frnRZ0e1CWnFn,341419
0.349,0.868,-4.258,0.0519,8.23e-05,0.0,0.619,0.151,174.163,1LowOq3Ipndg1XC1Dcm7lX,208931
0.554,0.763,-4.402,0.0363,0.0266,0.15,0.0996,0.426,172.036,6F2JQL8ik5Df4ovnlBvyb5,318703
0.133,0.941,-2.001,0.0446,0.00622,0.553,0.0872,0.0862,174.848,5hCFc82L5uFOR0nlQpFKyX,256114
0.377,0.858,-4.9,0.148,0.134,0.00185,0.0985,0.117,174.751,3AayefDdUFxivRs79bX7kV,234475
0.564,0.928,-3.397,0.0619,0.735,0.934,0.0468,0.278,173.966,3q8f1VZOYTankTgdSDwyF4,356864
0.357,0.95,-2.698,0.0448,0.0783,0.897,0.158,0.326,174.049,4YAKlVOPfdoeOMh6Y5TLSP,358204
0.511,0.963,-3.395,0.0582,0.12,0.859,0.107,0.177,87.493,2Sgv5xrCYjhnwQYKiquFHf,358835
0.515,0.877,-3.906,0.0644,0.00836,8.09e-05,0.156,0.317,174.059,2qNk3ta20XjhrLDCJRjBwn,244431
0.366,0.925,-2.572,0.0415,0.00113,0.934,0.208,0.128,174.958,0ihC2yqLwCglAjZNzDDSdp,245646
0.549,0.88,-5.237,0.0281,0.158,0.935,0.364,0.0358,139.993,6BudDSzmev8NZWGND78cfp,289919
0.548,0.837,-4.545,0.0371,0.0776,0.91,0.141,0.108,87.499,4xPRuwWDviQ78nhkxD1XhO,288471
0.666,0.834,-3.685,0.0747,0.133,0.592,0.101,0.373,172.013,1Xlr70JGQfGsQm4TWO2Efz,249971
0.554,0.844,-3.135,0.0313,0.182,0.921,0.174,0.292,87.51,2xp7VQUehmnBhiktsT5Dhx,271746
0.491,0.96,-1.981,0.0342,0.00011,0.888,0.0963,0.0383,130.502,72RA6zRTejirr9fgDlnjHL,292759
0.516,0.866,-4.816,0.0519,0.00414,0.122,0.172,0.0433,174.003,5zeJdfyBcAsbThjXTNo3wE,298277
0.561,0.783,-7.581,0.127,0.0129,0.589,0.304,0.123,174.981,0vXq3Pri8D1Laj9HbJ69D9,292371
0.407,0.784,-3.097,0.0331,0.0128,6.35e-05,0.0332,0.188,175.038,3J9Bp9KppkPpCAxICcBcRa,334829
0.505,0.929,-2.603,0.0411,0.00432,0.838,0.0843,0.177,174.004,0d0vd1ndYDumq1P6Ymvmjp,288402
0.74,0.587,-6.454,0.0758,0.000822,0.717,0.061,0.0993,87.02,3qe6NUmtNyw6JFdsoXZ7lA,275873
0.609,0.81,-4.192,0.233,0.018,0.00806,0.042,0.573,173.979,1JagFvI0nrx4xy0xdslSZl,264157
0.555,0.906,-2.301,0.0486,0.0273,0.0698,0.26,0.286,173.96,2F7sq1qp2MWZrl8LjUvHCm,232414
0.55,0.876,-4.329,0.0459,0.0173,0.0311,0.069,0.34,173.977,7K6HTWn8bRfaN7NNwiSvBN,184450
0.6,0.843,-2.58,0.061,0.00471,0.0882,0.0819,0.349,174.942,0fYruz9yqmcaqnmGNoOZtE,308000
0.646,0.73,-3.469,0.0427,0.0534,2.92e-05,0.0848,0.142,86.983,4mOruFExKKkCjne0MplZXv,240000
0.375,0.881,-4.901,0.063,0.0014,0.119,0.293,0.0399,173.989,2sn5coh6Wg2YkNPucuRswe,262155
0.494,0.874,-2.801,0.0504,0.00215,0.00152,0.0886,0.221,174.027,2OHrbVio0pu4bZzzYwYrpJ,259310
0.402,0.952,-3.823,0.0389,0.000502,0.338,0.187,0.0877,174.002,7kExTuluhmf6ZrVY7Fp2lu,263853
0.515,0.877,-3.906,0.0644,0.00836,8.09e-05,0.156,0.317,174.059,6lbw2aJxH2wo4zqmpbh1Wh,244431
0.485,0.863,-5.309,0.0445,0.00265,0.0251,0.307,0.206,175.016,2Uu8DbfinN283AkOz8U9wF,4062353
0.618,0.824,-4.585,0.0549,0.00268,0.877,0.0529,0.0598,86.982,48dwW7AecoLByEnq552ZAm,298131
0.6,0.861,-5.605,0.0719,0.0138,0.881,0.122,0.041,173.969,0kvMDB9iAdONZvhUUXa6v6,292614
0.565,0.83,-4.537,0.0406,0.0122,0.708,0.22,0.104,86.022,6iM96NyBg2rmoL1caQXCOh,353686
0.395,0.912,-4.092,0.0428,0.0475,0.203,0.133,0.174,174.048,5wWrVP5z7uV6ZtRN4RPfgw,259310
