danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,song_name,song_artist
0.502,0.948,-3.717,0.12,0.0101,4.49e-06,0.0809,0.102,139.979,0UZwcRQAk4QR09HtGRZhYC,273467,One For the Money,Escape the Fate
0.589,0.89,-3.719,0.0603,0.000481,0.00082,0.201,0.692,90.598,5W8YXBz9MTIDyrpYaCg2Ky,199907,Situations,Escape the Fate
0.588,0.881,-4.62,0.0666,0.000252,0.0,0.326,0.709,129.947,1KHKeIouP04dDtl0EetgED,209093,Picture Perfect,Escape the Fate
0.502,0.817,-3.508,0.0447,0.000477,0.0,0.153,0.617,90.024,7dRj3sTBYkNbEx5kdNHriv,233298,You Are So Beautiful,Escape the Fate
0.357,0.829,-5.071,0.0993,0.00225,0.0,0.113,0.464,194.002,14uAFiZ94iMTeEpXq1cLCi,200385,Last Resort,Papa Roach
0.465,0.977,-4.062,0.192,0.000381,0.0,0.261,0.0758,142.985,0k0v6551H91aVbmEFHKp5f,277960,Devil,Papa Roach
0.385,0.922,-4.704,0.105,0.000132,0.0,0.175,0.516,170.131,3rjnoSxE4F6fww3Vgai4LL,218280,Falling Apart,Papa Roach
0.481,0.938,-4.759,0.0781,0.00301,0.000153,0.0859,0.357,134.962,1wvs9V8xEJStRzx78lSNJK,222760,Welcome To The Masquerade,Thousand Foot Krutch
0.389,0.885,-5.063,0.0551,0.000372,0.000311,0.202,0.187,164.989,2GFwwTIVLjnOrtP7m9luHC,223173,Untraveled Road,Thousand Foot Krutch
0.46,0.938,-4.959,0.138,0.000116,1.1e-05,0.164,0.551,167.068,0ie4l4cRxZ4xYv1Dl9T5gn,194787,In the End,Linkin Park
0.514,0.951,-2.979,0.0692,0.000773,9.68e-06,0.0896,0.382,101.995,2Lirm7X16bS4pOepTLqFrU,221029,Final Masquerade,Linkin Park
0.333,0.877,-1.894,0.0603,0.00332,0.00101,0.769,0.285,175.095,0lHSJ0ZP8uUPnJXhMdGjOK,188187,Runaway,Linkin Park
0.15,0.859,-2.827,0.0595,0.00201,0.194,0.387,0.354,170.527,0WSa1sucoNRcEeULlZVQXj,228147,Pushing Me Away,Linkin Park
0.362,0.915,-3.244,0.181,0.000181,0.0,0.166,0.603,162.226,22GEETI4LXhhePCO71PyEv,177048,Never Giving Up,Of Mice & Men
0.33,0.941,-2.83,0.0909,0.000133,2.68e-06,0.0647,0.159,160.209,2up4oiwaVjL7nDDWjCSp6s,210227,Would You Still Be There,Of Mice & Men
0.595,0.489,-6.66,0.0271,0.497,0.0,0.119,0.0902,120.315,1MTQHCpraD4S8g5PAFKzoj,269973,Feels Like Forever,Of Mice & Men
0.43,0.965,-2.884,0.0467,2e-05,0.0,0.389,0.476,142.832,2yVcrEuYYuXBiDNIWkfVu2,207559,Broken Generation,Of Mice & Men
0.357,0.932,-4.196,0.0827,1.01e-05,0.00093,0.0395,0.339,169.872,2kPNfupzN6RAk2ehFcmjPG,221950,Jenny,NOTHING MORE
0.522,0.904,-4.519,0.0393,8.49e-05,0.0,0.391,0.503,105.0,3HvU8IMwKt6YAQHXoaPCVu,229333,Mr. MTV,NOTHING MORE
0.617,0.93,-3.592,0.0396,0.00562,1.32e-06,0.311,0.544,98.016,1kFUsNAanBKVegXU4NfCsW,210013,The Matthew Effect,NOTHING MORE
0.507,0.963,-3.762,0.0625,4.62e-05,0.00112,0.103,0.353,92.017,6rSkmu5VvY6iHbt4KNivgM,198956,Leeches,Deaf Havana
0.322,0.92,-3.823,0.178,0.00179,8.44e-06,0.12,0.324,178.129,43F7gH1k2kPax4Ev0C9Irg,224467,The World or Nothing,Deaf Havana
0.372,0.944,-5.755,0.342,0.00033,8.12e-05,0.185,0.153,159.967,3er2yurebKOKZJR6H3IFTo,244680,Fix Me,10 Years
0.468,0.876,-4.841,0.0692,0.00578,0.00625,0.035,0.13,135.062,1JBa9B1iA4yNVpJ5wVGrZH,247373,Shoot It Out,10 Years
0.376,0.95,-4.067,0.0641,0.00021,0.0,0.0377,0.438,178.018,6OMO6WdRhSfjMPAiPT94wH,179160,One More Day,10 Years
0.49,0.946,-3.563,0.118,0.0563,0.0,0.749,0.24,130.042,2NDH7pMWv3UQHOCN4tnXbI,223027,Closer To The Edge,Thirty Seconds To Mars
0.382,0.799,-3.676,0.0607,0.00112,4.54e-05,0.138,0.244,140.059,1s4Nc5XFspnFHEHLv92gak,216120,Attack,Thirty Seconds To Mars
0.238,0.935,-2.105,0.0628,0.00078,0.0,0.262,0.734,119.402,4bO90UtXyCqmvil6A4CvnA,192581,From Yesterday,Thirty Seconds To Mars
0.367,0.798,-6.407,0.048,0.00467,0.0,0.244,0.175,150.044,4cExQhQ0i34yZcoDsHFMV6,317440,A Beautiful Lie,Thirty Seconds To Mars
0.401,0.905,-6.145,0.3,0.000239,0.000703,0.33,0.53,198.093,55ET0bFCVKpGJOXATqLe0x,178415,Night Of The Hunter,Thirty Seconds To Mars
0.271,0.903,-4.516,0.137,0.00152,1.5e-05,0.189,0.22,147.159,3lPn81PFyKvXiyHhlkwkQ4,274133,Conquistador,Thirty Seconds To Mars
0.478,0.915,-4.176,0.103,2.77e-05,0.000299,0.0882,0.817,166.05,79t7AWh419e1BHYWRkdOGY,184813,Until the World Goes Cold,Trivium
