song_name,song_artist,id
One For the Money,Escape the Fate,77tR4iQgyQTAnhhuPik3ZP
Situations,Escape the Fate,1Fu9o08qEKVEwzU8siVcig
Picture Perfect,Escape the Fate,1WrCs9O004VI7EQoHok6R4
You Are So Beautiful,Escape the Fate,6JjO9Q4VXnQ1RPDaWr6iZG
Last Resort,Papa Roach,5W8YXBz9MTIDyrpYaCg2Ky
Devil,Papa Roach,2yVcrEuYYuXBiDNIWkfVu2
Falling Apart,Papa Roach,7gYwFqlhkWoFYP0Gt7AtdT
Welcome To The Masquerade,Thousand Foot Krutch,4bLL0KRNQyOr5beIjqTtZ0
Untraveled Road,Thousand Foot Krutch,3WG3wFBe9NgkWB1mNGE6fJ
In the End,Linkin Park,60a0Rd6pjrkxjPbaKzXjfq
Final Masquerade,Linkin Park,3aYBjxTMvrEOP0A0UXg9ER
Runaway,Linkin Park,6xtQ23d8GEXgcxyUKPtwc5
Pushing Me Away,Linkin Park,1gAaRSN57UYVRI4eWRyAvP
Never Giving Up,Of Mice & Men,6JrHK494fKTg8X0PfOfA0l
Would You Still Be There,Of Mice & Men,0m5PQFyWWwclSA0T813jnU
Feels Like Forever,Of Mice & Men,3iPMVDlzpkXuYkvsa1PRQj
Broken Generation,Of Mice & Men,2kPNfupzN6RAk2ehFcmjPG
Jenny,NOTHING MORE,1qhcO9Akt1mP0Y54OSTX9w
Mr. MTV,NOTHING MORE,0ia5teQlWFa31i8PBlFIgj
The Matthew Effect,NOTHING MORE,3uAmsaSYfQseG2o9s5kpgF
Leeches,Deaf Havana,1QoVzxOaVsMoInnjk22j7H
The World or Nothing,Deaf Havana,3IJ5Eh5NKuxqeoTUuuV021
Fix Me,10 Years,60OKW0mZiPFHVpHl3eHueg
Shoot It Out,10 Years,6TghWaPh1WHJKWXow7iujH
One More Day,10 Years,48PeLxMTu3v0i5o5hX6gjB
Closer To The Edge,Thirty Seconds To Mars,0UZwcRQAk4QR09HtGRZhYC
Attack,Thirty Seconds To Mars,0lHSJ0ZP8uUPnJXhMdGjOK
From Yesterday,Thirty Seconds To Mars,1JBa9B1iA4yNVpJ5wVGrZH
A Beautiful Lie,Thirty Seconds To Mars,0mmaX70fKuhgg0hDrfsS29
Night Of The Hunter,Thirty Seconds To Mars,7oeSh7VXdNRd3TRrVUeC0v
Conquistador,Thirty Seconds To Mars,2vesdp3VWtThIKeLdxHmFP
Until the World Goes Cold,Trivium,1hPKSQuvfLlPeIu8xhRyTf
I Won't Give In,Asking Alexandria,5MuWGLrqeqYEcpqWMq5M1w
I Hate Everything About You,Three Days Grace,6rUp7v3l8yC4TKxAAR5Bmx
Painkiller,Three Days Grace,6OMO6WdRhSfjMPAiPT94wH
Unbreakable Heart,Three Days Grace,5lmMoocYsTT0yRgfMSDizZ
It's All Over,Three Days Grace,5WzgzEf4flilYdMGqN4YCV
Gone Forever,Three Days Grace,1fguYEwRVDcwma6TQoud0f
The Good Life,Three Days Grace,19vRhjXl02lcxHunH1pE45
The Downfall Of Us All,A Day To Remember,1KHKeIouP04dDtl0EetgED
My Curse,Killswitch Engage,6zKF4293k44ItKWJJgrhXv
Tears Don't Fall,Bullet For My Valentine,3iWlbqAaoIR7H7gyO3a6rV
Your Betrayal,Bullet For My Valentine,25GC50HslaaruyrKjdu0lP
All These Things I Hate (Revolve Around Me),Bullet For My Valentine,7pgHwgQ4fQGHUSux4P949x
Sound of Madness,Shinedown,0W9Xvd4Qx1aZPxEi94vgRY
Adrenaline,Shinedown,5oJrV0mGkw9dilk96X3W0c
Bully,Shinedown,0Ldlex2J63L6Dop9Pk2Rz9
Devour,Shinedown,1PnRmaCF3EoQCkeB3JUtOs
Skeletons,Heartist,0Kxo5gRKRJTsZdoBZW2a5L
Pressure Point,Heartist,2v1uOqDnsKStRQWBKl69xO
Ignite,Heartist,5NS65b8FIH9x3joDlYl0Ka
Over And Under,Egypt Central,6Lah64e21cUytn0QXfuOoF
