danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.575,0.722,-5.146,0.0719,0.387,0.0,0.133,0.793,149.079,6oRkosAzlSgoMP7JHpZovG,144760
0.464,0.484,-5.893,0.0285,0.675,0.000317,0.0903,0.348,80.812,0QqlWusQ3clb3ZYxZdfb1c,148107
0.606,0.794,-6.042,0.0282,0.157,0.0406,0.568,0.911,116.93,4Wd9pEtEnZNDjgiswGOpJb,274227
0.471,0.585,-6.105,0.0822,0.786,0.0,0.811,0.655,150.719,6EAlFsajDK1PVgfhdJbS5Y,169747
0.455,0.502,-7.539,0.0493,0.699,0.000156,0.094,0.674,163.347,40XeGNGFchGYw7y0ue1GiG,209453
0.616,0.957,-3.966,0.0508,0.501,0.0115,0.318,0.778,128.517,668YgsnvdNBHfRscNIBS31,307440
0.39,0.502,-12.277,0.178,0.336,0.000138,0.0713,0.289,97.871,3Am0IbOxmvlSXro7N5iSfZ,247320
0.29,0.288,-16.372,0.0312,0.872,0.207,0.122,0.117,96.397,2XClue0OiR8tBFuObNCvZ0,240640
0.483,0.351,-10.487,0.0278,0.783,0.0,0.115,0.713,81.208,1kDkaFlmkdEZiVUogaP9OZ,119813
0.55,0.428,-9.981,0.0271,0.756,3.62e-05,0.127,0.433,94.181,7zoiA8mBoaiiYTkzUGtkIe,211933
0.818,0.728,-8.331,0.0314,0.232,0.0642,0.251,0.975,113.059,1gFNm7cXfG1vSMcxPpSxec,188960
0.718,0.593,-9.976,0.0377,0.67,0.0,0.172,0.869,124.251,4ltC6PrqkTtpcRNi5lvS4z,136067
0.331,0.277,-11.035,0.0295,0.723,0.00263,0.181,0.366,112.78,1LD75COdR1n8jTIjommyS2,165213
0.432,0.389,-6.517,0.0255,0.687,0.0107,0.0788,0.158,139.506,52dm9op3rbfAkc1LGXgipW,341773
0.551,0.575,-8.208,0.0332,0.239,0.0,0.112,0.516,137.054,0voUr8lubIafUVJlauJxYF,155333
0.496,0.701,-9.506,0.0401,0.295,0.000111,0.202,0.86,123.148,46uLYXCBGVCkAFLV6YH2PQ,117893
0.585,0.782,-9.219,0.0348,0.00487,3.15e-05,0.196,0.717,126.08,30JZUIw4URatmLZz14PnQr,182800
0.348,0.865,-9.727,0.0625,0.262,0.00279,0.121,0.471,102.078,4EUe6BsZm5wZLxOTaV3kDX,668441
0.564,0.932,-10.068,0.0554,0.013,0.169,0.349,0.619,112.937,78lgmZwycJ3nzsdgmPPGNx,146250
0.444,0.409,-11.623,0.0283,0.275,0.0075,0.173,0.544,105.172,3xBVG1d4RY1H7OqeJnInTI,211173
0.366,0.361,-11.187,0.0315,0.805,0.0492,0.297,0.405,115.99,1DuRj46elVZRTFARz4CXWr,150400
0.399,0.946,-6.998,0.164,0.0572,6.77e-06,0.73,0.447,175.009,0yVs7eSL8mPnIu2CGKHpUQ,147933
0.527,0.48,-9.61,0.028,0.334,0.0,0.0702,0.706,139.388,6EHuOufBeL6vk3TvVJB5qo,120853
0.533,0.66,-7.694,0.0337,0.346,0.0,0.26,0.818,131.975,70HNt0eoBVqr4ss68U8x3B,138667
0.652,0.583,-7.811,0.038,0.412,0.0,0.119,0.744,138.134,1Dg4dFJr3HW7sbA7vPejre,163600
0.324,0.553,-11.792,0.043,0.321,0.00776,0.494,0.361,158.025,4zcELnhoX8Ux9K8NeAldiH,275280
0.416,0.563,-8.724,0.0298,0.207,0.0,0.343,0.9,77.56,4joiWvli4qJVEW6qZV2i2J,127853
0.504,0.578,-9.302,0.031,0.408,0.0,0.321,0.654,132.411,4uGIJG1jYFonGc4LGp5uQL,174840
0.345,0.464,-12.322,0.0319,0.605,0.0687,0.109,0.337,98.455,6YhrDBmLhwAgnpAuTOv9qG,235413
0.352,0.369,-11.546,0.0288,0.421,2.74e-06,0.148,0.478,91.051,4oa8Y37vnedCUhZ17EwcgV,150547
0.336,0.318,-11.412,0.0263,0.317,0.0716,0.111,0.24,79.66,3JLrri1xSCui3bzITDJbkk,459094
0.299,0.329,-10.096,0.0279,0.756,0.0105,0.0559,0.392,132.282,3mlMpmY8oZIBFc39D9zLbh,218187
0.552,0.894,-3.835,0.0292,0.328,0.938,0.515,0.968,131.71,34OVMKNbZGdYT04LRMx5w9,185933
0.361,0.402,-10.971,0.0286,0.144,0.0,0.138,0.386,77.177,2U0iigw8ff589GR2hRGUV1,200267
0.436,0.354,-12.241,0.0328,0.883,0.0104,0.297,0.208,112.368,2cgkp9kzFZQlGKapNAC65C,423933
0.525,0.929,-8.56,0.0784,0.262,2.9e-05,0.0754,0.556,163.503,4ItljeeAXtHsnsnnQojaO2,262748
0.59,0.681,-12.287,0.0276,0.00669,0.00441,0.227,0.752,111.075,65Z4QoQlb4ekAh9rLqlfLU,267307
0.468,0.858,-9.639,0.0543,0.166,0.000304,0.0807,0.526,77.987,16VhHtoaOjTU4AJBNSBNQ1,236760
0.506,0.434,-13.758,0.129,0.525,0.0011,0.234,0.498,80.523,62QInSlXQI11BR9ycVWjd6,282427
0.575,0.566,-8.601,0.0383,0.472,0.0,0.0722,0.655,131.994,2KiW2M0f0F9qNI0HdCCc7P,157507
0.27,0.566,-6.811,0.0309,0.0407,0.332,0.101,0.327,150.34,3GRv9exYR6M64ZVxXDgPuB,232813
0.552,0.57,-10.332,0.0349,0.619,0.0,0.397,0.26,127.056,1WEuSuC0tJquFpf2JiMjh7,231133
0.767,0.331,-10.777,0.0337,0.64,0.0,0.0681,0.636,113.312,65vdMBskhx3akkG9vQlSH1,149693
0.783,0.878,-3.864,0.0308,0.39,0.000778,0.0426,0.885,100.626,77oU2rjC5XbjQfNe3bD6so,265173
0.449,0.487,-13.794,0.0289,0.389,0.868,0.545,0.495,92.343,33zGvjukiRoJgW6JWY0FMo,162160
0.426,0.746,-11.427,0.414,0.856,0.0,0.898,0.494,86.487,4XBDl5pj8ZNPEho1AhzjS1,63387
0.467,0.835,-7.084,0.0642,0.0745,0.000184,0.26,0.639,91.603,3dCarMp6T3GsKCspJgeD0a,311640
0.391,0.546,-9.423,0.0266,0.672,0.0,0.263,0.507,87.585,27e6cMePYD0tleccrEMyHi,134240
0.396,0.546,-10.234,0.0364,0.34,0.00744,0.162,0.503,135.148,1JSkbxhF7tLSC7br7ZSlnX,174333
0.598,0.45,-12.06,0.0282,0.457,0.0,0.0758,0.518,74.014,2i9s1hvuG4lk4ATpCzjYXF,255867
0.359,0.0681,-14.629,0.0338,0.965,0.00154,0.109,0.109,76.098,5kLcdHlV1JvBrK4mIqg2OH,346867
0.534,0.725,-7.576,0.0332,0.188,0.0,0.0994,0.763,95.003,7DD7eSuYSC5xk2ArU62esN,139560
0.317,0.887,-7.292,0.0375,0.000582,0.00258,0.0891,0.871,169.613,4PRGxHpCpF2yoOHYKQIEwD,220561
0.562,0.793,-7.774,0.0526,0.705,0.0,0.222,0.57,140.838,1QLr0zOu6fv5hLEHOwdr21,215920
0.485,0.943,-4.423,0.0416,0.0639,0.179,0.144,0.889,141.982,42o3gy9e8dzBHvQE991ad8,271933
0.48,0.435,-8.851,0.0359,0.233,7.75e-05,0.204,0.538,93.352,3Lk77QOBVywNAVSqOPcuw2,123840
0.257,0.412,-11.788,0.0287,0.361,8.68e-05,0.0702,0.858,152.126,4dkoqJrP0L8FXftrMZongF,228133
0.688,0.435,-11.359,0.0323,0.449,0.0,0.113,0.435,103.239,3KfbEIOC7YIv90FIfNSZpo,146333
0.49,0.579,-10.301,0.0344,0.217,0.0,0.0644,0.879,119.403,5tztLBvTlNC15Np2tnQ5Ll,122573
0.531,0.343,-15.074,0.0295,0.671,1.72e-06,0.158,0.498,104.037,2sKXj3gEdILnKDMV3D0htZ,185227
0.763,0.881,-5.976,0.104,0.458,5.13e-05,0.101,0.787,140.849,7g0lUPQQnkiSDJ4hiNZiyX,225467
0.402,0.691,-10.274,0.0691,0.0679,0.133,0.0955,0.206,96.95,2eDdFHgqNJltzlvlZFVDWd,290934
0.598,0.67,-12.468,0.0299,0.00323,1.62e-05,0.0646,0.567,109.998,2xELv6gJ3ZuahRcA2id4oX,368293
0.673,0.349,-12.414,0.0368,0.608,0.0,0.38,0.609,124.451,7Aobt67JnaF7qN8jCCKvHq,117013
0.188,0.55,-9.33,0.0372,0.541,0.0,0.289,0.568,177.094,7jvptnW3PMozIQq4C6uJB9,153427
0.528,0.644,-8.104,0.0377,0.043,0.00298,0.226,0.688,97.815,7ab9T50hNO7ULa2pvtcjjZ,215333
0.705,0.515,-9.343,0.0337,0.365,0.0,0.389,0.803,112.035,2RnPATK99oGOZygnD2GTO6,164107
0.47,0.806,-7.165,0.0369,0.379,0.0624,0.86,0.787,132.359,5NnZ4JJxWiqqhYNu3rwmFj,278907
0.681,0.563,-8.747,0.0288,0.0268,0.000418,0.0857,0.704,96.521,3V82aakh1ICJi0Dn7XVRln,345867
0.655,0.695,-9.648,0.0381,0.101,0.436,0.105,0.33,125.572,4z3RNAUb0whdaLAudM9EHE,204187
0.578,0.429,-9.601,0.0268,0.178,6.01e-05,0.171,0.0889,108.738,30V02AmDYMRvrHE4L8cZAo,133320
0.393,0.364,-10.945,0.0345,0.0021,0.0703,0.121,0.308,118.566,1SDiiE3v2z89VxC3aVRKHQ,444148
0.795,0.71,-4.746,0.0392,0.443,0.0215,0.344,0.845,109.689,3hJLKtTpgct9Y9wKww0BiR,288667
0.406,0.768,-9.321,0.0374,0.507,0.0473,0.0825,0.55,99.855,5m6livL7ccIS92wq16n52r,251453
0.695,0.706,-7.321,0.0278,0.00959,0.00133,0.189,0.762,116.983,6IPVttV70UheBVF1R8a4cK,348467
0.533,0.376,-11.913,0.0393,0.0302,0.248,0.0926,0.187,165.007,2EqlS6tkEnglzr7tkKAAYD,259947
0.702,0.668,-9.237,0.214,0.518,0.0,0.0588,0.561,116.063,1Ud6moTC0KyXMq1Oxfien0,378147
0.61,0.548,-6.416,0.0293,0.444,2.14e-06,0.0951,0.482,119.925,6If8Jwm6YvRlg2RFSviUKW,344880
0.618,0.769,-8.012,0.0248,0.0123,0.00829,0.23,0.385,102.678,4r8AQvzullpWTDpgv70KxD,339475
0.365,0.77,-10.492,0.0764,0.21,0.136,0.503,0.37,130.603,2BGNomqCxEDcXyxf8bg27k,214640
0.544,0.59,-8.427,0.029,0.0319,0.0,0.0671,0.924,132.409,0bux8uey9F2gKAY3OMCUFW,130173
0.778,0.386,-9.428,0.0303,0.24,1.28e-06,0.0858,0.482,120.35,2MCkZyPBGoAgrI6trelH0N,250160
0.617,0.459,-9.292,0.0368,0.222,0.0415,0.285,0.119,114.497,0QVJsWtmgj9SWZaLYiX2i3,262400
0.579,0.877,-8.83,0.0488,0.0289,0.571,0.0656,0.9,126.336,263Iuyk08ks1v6FIudUIGD,175080
