danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.838,0.609,-5.643,0.219,0.341,0.0,0.0578,0.394,120.073,5CE1jL4dkfZlX5CiHZh5ap,268487
0.746,0.557,-10.923,0.12,0.0283,0.851,0.088,0.941,93.998,0b3F6hAcrjp4q8BFeYXDsh,81711
0.435,0.987,-4.667,0.16,0.000195,0.0847,0.268,0.101,103.16,0L7zm6afBEtrNKo6C6Gj08,365827
0.48,0.163,-19.117,0.0645,0.81,0.754,0.093,0.212,158.366,2xQFN9Jxp93qROvYQoAn3C,204147
0.295,0.936,-3.437,0.244,0.000661,0.172,0.184,0.337,95.971,5BPa4mY5vsRyUHuUy8oWdz,215933
0.526,0.69,-3.591,0.0351,0.114,0.00216,0.0969,0.224,106.993,3VvBPkc24zC7x05mgJTyGO,290467
0.589,0.701,-5.551,0.0378,0.00191,0.0327,0.0957,0.127,86.061,0R78iSBwprEBQQoBz3PZnN,295420
0.215,0.459,-13.406,0.0544,0.00861,0.00934,0.0619,0.443,50.732,2R30N7DHSavVqORsbMApqV,147533
0.59,0.578,-5.798,0.0528,0.612,0.000162,0.0837,0.264,81.663,7aUuoq4oMfLxaLa5GVUDHi,219560
0.645,0.713,-5.355,0.0393,0.00835,0.0,0.113,0.566,74.989,2Z8WuEywRWYTKe1NybPQEW,214507
0.714,0.588,-5.176,0.0749,0.062,0.0,0.121,0.428,183.954,1kuC3POteqJYrIXyats2Q2,150719
0.624,0.727,-7.787,0.0396,0.00353,0.888,0.116,0.38,120.012,2WlnczYDjRaMZNZCrCuxxo,264473
0.877,0.679,-4.969,0.355,0.0458,0.0,0.0987,0.624,144.93,1lw4FrPr3Y8R7Q1Mro2TMe,172185
0.665,0.886,-4.175,0.0514,0.0469,6.24e-05,0.0525,0.53,128.062,1oHxIPqJyvAYHy0PVrDU98,240347
0.942,0.382,-8.099,0.564,0.00192,0.0,0.092,0.379,100.017,3KLo7ByvjCNyBrfz5DZ2mO,177864
0.425,0.746,-2.978,0.0339,0.00821,0.00048,0.265,0.352,89.058,6M7bXLGi2e3QKHLwZTTmEN,207952
0.421,0.285,-9.43,0.0293,0.829,1.55e-06,0.233,0.402,85.861,0zGLlXbHlrAyBN1x6sY0rb,196133
0.774,0.698,-7.5,0.0481,0.157,0.00027,0.0684,0.969,122.325,5W5FVsgGCe3T9nIMkiXqNo,203867
0.494,0.939,-4.693,0.18,3.45e-05,0.433,0.109,0.439,164.006,0umThfTNQOxJn86aS8NyC5,260000
0.913,0.579,-8.693,0.243,0.258,6.75e-05,0.124,0.433,143.009,6FLnfJ4focrSUvYplO5k4D,217850
0.308,0.523,-16.822,0.0437,0.897,0.877,0.692,0.44,134.94,4Rv1xQQCtaf34a41RUYltO,166320
