song_name,song_artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Phoenix,Hybrid Minds,6ieTQJCmIPPs0yPUzMR2dY,0.595,0.867,-3.252,0.0343,0.00286,0.319,0.0984,0.148,87.488,299845
Chasing Sunrise,Metrik,3atwnQdr7LBToMWlbCjIg8,0.459,0.866,-5.456,0.0512,0.000768,0.167,0.0974,0.125,174.045,252458
Tension,Fred V & Grafix,3UN9sc3Y1LSwqhI61v21PZ,0.37,0.903,-5.664,0.0296,0.000234,0.0204,0.143,0.111,174.022,286997
Inside,Hybrid Minds,6BkW2GQOQ85ZS2Sc2OGMWL,0.396,0.769,-3.432,0.0365,0.00501,0.796,0.135,0.134,175.001,307258
Patience,Hybrid Minds,2tENFE3ujnaLOP5UM9fIpP,0.558,0.82,-4.684,0.0485,0.00771,0.324,0.0846,0.0497,174.998,355200
Touch,Hybrid Minds,2jtlU6H5C9WFB0x72f6YGo,0.582,0.821,-4.304,0.0497,0.0354,0.121,0.083,0.0373,86.013,313562
Ultraviolet,Fred V & Grafix,2nUHEv8eeswF0LylAs7ehe,0.499,0.842,-6.338,0.042,0.0038,0.00441,0.103,0.259,173.932,248537
Back to the Street,BCee,5Ekdfu0XeYUnd1vex3jwsd,0.599,0.892,-5.773,0.051,0.0153,0.0517,0.0762,0.209,173.96,295172
Light in the Dark - Etherwood Remix,SpectraSoul,6aEYxotV866IwZIBDFUYFh,0.578,0.807,-5.645,0.0466,0.00129,0.837,0.0521,0.5,170.066,259506
Parallel,Technimatic,4tdmGX1ExiCTSV1xhPimAQ,0.559,0.787,-5.5,0.0398,0.0127,0.0199,0.0962,0.129,173.972,292414
The Wolves - Lenzman Remix,Amy Steele,6k85Jbv42NqWO2u4lflvdu,0.625,0.717,-6.961,0.075,0.00746,0.899,0.897,0.366,171.981,346047
Tides,Nu:Tone,7A99JonAe94FLm6DqNIpS8,0.612,0.832,-5.269,0.0424,0.00559,0.027,0.169,0.533,84.999,343347
Thunder (feat. Emeli Sandé),Netsky,0AQAdESuhbfV2ldTpO2MYF,0.435,0.847,-3.875,0.0579,0.0202,2.59e-05,0.0891,0.598,172.064,209040
The Night,Halogenix,29nR1InngtsVT71ggR6Lzr,0.475,0.835,-5.879,0.0624,0.0139,0.451,0.0741,0.0389,171.951,294654
Lullaby - Logistics Remix,Andreya Triana,2QJVLwQdk2aGdLEs0xp89R,0.452,0.798,-6.007,0.0354,0.00195,0.00736,0.205,0.0394,173.903,279347
Faded,Wilkinson,2yW5BrN8RFtTG6lrzM1sOA,0.44,0.957,-2.84,0.068,0.000762,0.00566,0.0854,0.105,173.939,287227
Holding On,Dawn Wall,3FxgatVZLNTP70wLvX59jz,0.543,0.754,-4.843,0.0406,0.00295,0.853,0.102,0.0375,174.003,273642
Secret Place,Hybrid Minds,0hCs5qwhfgpH40ktDg1NKD,0.442,0.93,-3.135,0.0552,0.0189,0.0136,0.397,0.137,173.896,314680
We Got It - S.P.Y Remix,Metrik,1Iuo5rSPfXDVKxCyl2ePbW,0.453,0.883,-4.954,0.0403,0.000608,0.181,0.371,0.0786,173.963,297452
Kismet,Hybrid Minds,6iM96NyBg2rmoL1caQXCOh,0.565,0.83,-4.537,0.0406,0.0122,0.708,0.22,0.104,86.022,353686
Teddy's Gate,Whiney,5tKD7VkJxsEWBx5sKCsZTo,0.529,0.865,-3.441,0.0518,6.21e-05,0.201,0.214,0.0853,174.959,309943
Mind Less,GLXY,2oGLUgHKOnuRhAiucmSd2Z,0.536,0.877,-3.869,0.0657,0.132,0.0264,0.162,0.22,174.115,189263
Open Page,Lenzman,0iqT5BeQEHBds5RSsJDMJL,0.587,0.749,-4.752,0.0424,0.00028,0.853,0.0639,0.252,171.052,344440
Golddust - Original Mix,DJ Fresh,7e0JYBx8mE2DgPqSIioIZ2,0.512,0.931,-1.162,0.154,0.26,0.0,0.399,0.237,176.965,191560
Colour The Past,Krakota,1Ew5Le4ktNyrAHCBUNkmBu,0.288,0.89,-5.241,0.0455,4.33e-05,0.366,0.135,0.0439,170.024,304845
Like The Sun,Fred V & Grafix,6bsmYFwAy2Y8e5fkzOLPLR,0.534,0.821,-5.009,0.0385,0.0116,0.0116,0.206,0.296,173.995,227587
Run,Wilkinson,55SLf5UJ2jxdAMWq8zvT19,0.469,0.828,-3.976,0.0531,0.0332,1.13e-05,0.12,0.151,173.896,211293
Balaclava In My System,Nu:Tone,6y24XZ3o44XhPETNs0Xfh9,0.519,0.959,-6.733,0.0742,0.00365,0.00413,0.312,0.486,86.999,375653
Expressions & Impressions,GLXY,3fMfek5YSthbN6SoiLq6du,0.572,0.902,-5.932,0.0538,0.00486,0.303,0.879,0.121,172.032,373953
Breathe,Ownglow,6QB0zmjpQoZUgf7kMK5Xob,0.581,0.666,-6.724,0.068,0.0153,0.0779,0.283,0.136,173.98,317548
Beautiful Lies,B-complex,0uryR2h5CovP64xlud4DGZ,0.398,0.903,-5.299,0.0449,0.0002,0.901,0.252,0.124,174.035,408376
The Journey,Feint,1AIYrVHnHDGB4eiC1S2PmA,0.48,0.626,-6.279,0.0538,0.00281,0.0222,0.172,0.227,172.041,346000
Snake Eyes,Feint,08ypS6EF8F13l8EUa5I2J4,0.501,0.815,-5.882,0.0747,0.000425,0.115,0.264,0.175,173.937,264835
Got Me Thinking,Maduk,3iKBtYoamggdtSbDL9FUCa,0.51,0.891,-4.96,0.0411,0.0138,0.000793,0.0966,0.41,174.994,212914
Stay - Maduk Remix,Delta Heavy,42QJ7iyl66MSJh5szVe4sF,0.433,0.952,-3.233,0.0528,0.00416,0.000995,0.0351,0.409,175.899,223821
Too much too soon - Blu Mar Ten Remix,Seba,5lVTu0NRflwha1SuKLXJaD,0.58,0.695,-6.278,0.0467,0.000682,0.792,0.131,0.326,175.066,288000
Lifeline,Loadstar,0MbCVz594pFBU5Ukgyq0JT,0.334,0.752,-4.188,0.0464,0.00515,0.00484,0.155,0.155,86.16,191243
We Got It,Metrik,4xqsR5oFxANtInFFTnxcVI,0.45,0.726,-5.443,0.0379,0.0358,1.01e-05,0.107,0.0483,173.839,243543
Mountains,Hybrid Minds,1riFMiYaPx2CoMQodIa33k,0.493,0.824,-4.629,0.0396,0.000351,0.475,0.17,0.0842,172.987,350983
Days Go Slow - Makoto Remix,DJ Marky,6Teq2ah2KhQ0xa92cpFfUf,0.416,0.965,-3.808,0.0624,0.000347,0.249,0.0997,0.108,175.012,361125
