song_name,song_artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
Endless Sky,Dusky,0.75,0.821,-6.504,0.0437,0.136,0.0503,0.325,0.654,130.015,3oHOObxpYRdsRwVqizxWNM,159562
B.O.T.A. (Baddest Of Them All),Eliza Rose,0.756,0.962,-7.526,0.0583,0.0671,0.703,0.194,0.749,136.981,45bfH0GZvUyujIBiKRhXso,358267
Setting Sun,George FitzGerald,0.546,0.87,-6.795,0.0384,0.00362,0.659,0.0527,0.036,129.998,4BG4Smwt9cu1RzAKurrIN6,373167
ATK,Bonobo,0.705,0.88,-8.887,0.0631,0.00481,0.862,0.0512,0.581,127.982,3AaGCSpUFAmtB1XGxz5IWk,245208
Dancing In The Shadows,TSHA,0.576,0.848,-5.935,0.0333,0.00161,0.00144,0.11,0.532,130.026,2edB8M0PPZCoYKm8ohDaNm,277433
Desire,George Riley,0.689,0.609,-9.889,0.0382,0.295,0.0455,0.117,0.103,128.024,3DVXjW5D4mPCS7lcUdkuq4,108646
Follow You,Kornél Kovács,0.742,0.727,-8.351,0.0536,0.333,0.881,0.102,0.824,127.991,5yFjyLryX1UPHfuLXPVxJz,244262
Talkin' Drums,Melé,0.818,0.748,-6.678,0.0717,0.00791,0.00775,0.207,0.472,126.069,5qJm4xvRCOQ1zedunDnndW,180952
The Corner,Gold Panda,0.297,0.555,-9.344,0.047,0.0263,0.409,0.303,0.228,144.601,1Pfun1VMFlTBwgqLNdUxcR,220653
Mango Feedback,Four Tet,0.638,0.919,-7.974,0.0485,0.0118,0.802,0.123,0.699,130.048,4lEkWLEF4MRTJE03dCF2O9,291721
Turn On The Lights again.. (feat. Future),Fred again..,0.683,0.887,-4.944,0.0497,0.0125,0.446,0.318,0.551,132.007,6gdDu39yYqPcaTgCwYEW8i,267947
Be with You,Totally Enormous Extinct Dinosaurs,0.648,0.757,-5.932,0.0296,0.276,0.092,0.0987,0.38,119.971,2ECjeYPCdRNeuCzO0W1UMW,247327
Burning In My Arms - Edit,BURNS,0.72,0.96,-3.23,0.0349,0.0414,0.14,0.11,0.666,124.988,3Z9qdV9SOWHuTxNbyOwXIa,211200
Consciousness - Eric Prydz Remix,Anyma,0.623,0.866,-7.145,0.051,0.0109,0.785,0.637,0.244,125.967,1i5XRu1L0x7gIg9UGKqizL,244130
e-motions (with Erika de Casier),Mura Masa,0.797,0.548,-5.992,0.033,0.71,0.0336,0.115,0.465,127.993,5g1IxCinEawQcerAMrs2tU,168724
GMT - Jamie xx Remix,Oliver Sim,0.832,0.433,-15.566,0.0437,0.42,0.687,0.0942,0.275,117.904,6kqAKtIZDTeBjLdJJ2jiTt,572217
"No Time (feat. Nia Archives, Beenie Man, Cristale & ShaSimone)",CLIPZ,0.745,0.928,-2.364,0.248,0.0693,0.0,0.0276,0.776,174.049,1ONDma4NENd2D7ig3HvJ1Z,168653
Passed Tense,George FitzGerald,0.681,0.826,-6.72,0.0547,0.362,0.0132,0.14,0.549,123.996,2uUAW6qgya8keByF9mh3ui,241087
PURE/HONEY,Beyoncé,0.857,0.558,-7.888,0.134,0.0122,4.8e-05,0.288,0.453,123.973,4DByEumlGTZKSzuVEZ35eo,288255
All the Things We've Been Through,DJ Counselling,0.276,0.571,-9.048,0.0386,0.0765,0.969,0.04,0.0573,91.481,2N7kFL9VM9JrS9XvavwMqd,295172
Nowhere to Hide,Aluna,0.797,0.718,-6.868,0.0569,0.0338,0.579,0.0944,0.561,112.019,6YGn4dZqpmb8zRPTkDAAlo,195605
Nike,Shygirl,0.926,0.308,-10.294,0.323,0.00907,1.12e-05,0.0648,0.63,101.872,1ueaBqr5S3NxQhj1gKgmwj,127625
Change,Supershy,0.823,0.585,-10.029,0.0747,0.0184,0.214,0.06,0.533,120.02,09KmIUMlvTx7TZQrrSKCgl,290019
Howl,Elderbrook,0.634,0.659,-7.143,0.0263,0.373,0.00325,0.161,0.38,126.977,3360fzHkXtFCGSnTpyBMRA,257431
Kerosene,Biig Piig,0.681,0.559,-7.043,0.293,0.229,0.00922,0.0907,0.198,119.98,1uPRLmmA2YGNItLRp3BgFO,149840
Intimate Fantasy,Chaos In The CBD,0.802,0.856,-8.764,0.0575,0.0294,0.878,0.666,0.719,127.067,7MQE5Gx0g0DkHvH2PwgOgs,493000
Intentions,Hudson Mohawke,0.419,0.74,-5.601,0.0876,0.233,0.00135,0.123,0.254,149.699,2gNYF7hcGCugn9lH5fjnZw,258480
About You,Nils Hoffmann,0.55,0.629,-9.762,0.0447,0.112,0.0114,0.0976,0.202,111.009,6ExxJ9telaOPy8U2onom9F,232918
Time,George Riley,0.698,0.886,-4.347,0.0575,0.16,0.0,0.138,0.0503,127.972,5k5OO3omkVxszp63SkJL8t,182605
